FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
/tmp/tmpd20for8q,Medium,Ingress and Egress blocked,338,422,19.905214
/tmp/tmpd20for8q,Medium,Non-root containers,379,385,1.5584415
/tmp/tmpd20for8q,Medium,Allow privilege escalation,283,386,26.683939
//ServiceAccount/litmus-admin/path=2939547588/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/litmus-admin/path=2989880445/api=rbac.authorization.k8s.io/v1//ClusterRole/litmus-admin,High,List Kubernetes secrets,202,914,77.899345
/kube-system/ServiceAccount/secrets-store-csi-driver/path=1389859238/api=rbac.authorization.k8s.io/v1//ClusterRole/secretprovidersyncing-role/path=2937432610/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/secretprovidersyncing-rolebinding,High,List Kubernetes secrets,202,914,77.899345
/tmp/tmpd20for8q,Medium,Non-root containers,379,385,1.5584415
/tmp/tmpd20for8q,Medium,Automatic mapping of service account,153,609,74.87685
/tmp/tmpd20for8q,Medium,Ingress and Egress blocked,338,422,19.905214
/tmp/tmpd20for8q,Medium,Non-root containers,379,385,1.5584415
/tmp/tmpd20for8q,Medium,Allow privilege escalation,283,386,26.683939
/monitoring/ServiceAccount/kube-state-metrics/path=2926910356/api=rbac.authorization.k8s.io/v1//ClusterRole/kube-state-metrics/path=3415447869/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/kube-state-metrics,High,List Kubernetes secrets,202,914,77.899345
/tmp/tmpd20for8q,Medium,Ingress and Egress blocked,338,422,19.905214
/tmp/tmpd20for8q,Medium,Non-root containers,379,385,1.5584415
/tmp/tmpd20for8q,Medium,Allow privilege escalation,283,386,26.683939
/tmp/tmpd20for8q,Medium,Ingress and Egress blocked,338,422,19.905214
/tmp/tmpd20for8q,High,ServiceAccount token mounted,91,210,56.666668
/tmp/tmpd20for8q,Medium,Non-root containers,379,385,1.5584415
/tmp/tmpd20for8q,Medium,Ingress and Egress blocked,338,422,19.905214
/tmp/tmpd20for8q,High,ServiceAccount token mounted,91,210,56.666668
/tmp/tmpd20for8q,Medium,Non-root containers,379,385,1.5584415
/argocd/ServiceAccount/argocd-application-controller/path=255269376/api=rbac.authorization.k8s.io/v1//ClusterRoleBinding/argocd-application-controller/path=2880965522/api=rbac.authorization.k8s.io/v1//ClusterRole/argocd-application-controller,Medium,Administrative Roles,22,914,97.592995
